ticker,status,current_price,entry,sl,tp,rr,zone_lo,zone_hi,atr,short_float_pct,inst_own_pct,dollar_vol_30d,avg_vol_30d,weekly_bars,days_to_earnings,earnings_known,earnings_blackout,tradingview_url,reason
PKG,PASS,232.77000427246094,224.97588523686574,211.81218044536,253.8371124267578,2.1924851435832604,221.67916870117188,228.27260177255957,13.163704791505733,3.1,98.84,129384578.39583589,555847.3,261,33,True,False,https://www.tradingview.com/chart/?symbol=NYSE:PKG,PASS entry=224.98 SL=211.81 TP=253.84 R:R=2.19 zone=[221.68-228.27] short=3.10% $vol=$129.4M
LRCX,PASS,288.1099853515625,242.20400191019104,198.30029660994796,337.8699951171875,2.1789958854900293,233.01649475097656,251.3915090694055,45.34844316755022,2.22,89.12,2413136508.7407184,8375747.566666666,261,33,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:LRCX,PASS entry=242.20 SL=198.30 TP=337.87 R:R=2.18 zone=[233.02-251.39] short=2.22% $vol=$2413.1M
URI,PASS,1013.9099731445312,984.0309658696531,902.0811221612383,1160.8367919921875,2.1574882650371636,970.7264404296875,997.3354913096188,81.94984370841469,2.31,95.9,432647248.2874573,426711.7,261,33,True,False,https://www.tradingview.com/chart/?symbol=NYSE:URI,PASS entry=984.03 SL=902.08 TP=1160.84 R:R=2.16 zone=[970.73-997.34] short=2.31% $vol=$432.6M
EQIX,PASS,1021.3400268554688,959.905376320582,893.9884686593831,1100.5514592493814,2.133687515374583,941.8261108398438,977.9846418013202,65.91690766119898,1.67,101.46,543355243.3691711,532002.3,261,40,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:EQIX,PASS entry=959.91 SL=893.99 TP=1100.55 R:R=2.13 zone=[941.83-977.98] short=1.67% $vol=$543.4M
EXPE,PASS,279.3500061035156,271.4066886165385,244.03522878842918,329.44000244140625,2.1202125933111575,264.0479446642757,278.76543256880126,27.3714598281093,4.57,104.0,465718930.6871552,1667152.0333333334,261,48,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:EXPE,PASS entry=271.41 SL=244.04 TP=329.44 R:R=2.12 zone=[264.05-278.77] short=4.57% $vol=$465.7M
OMF,PASS,60.810001373291016,57.871886322447345,54.3411461762877,65.3499984741211,2.1180012807817725,57.38434982299805,58.35942282189664,3.5307401461596437,3.44,95.06,53348150.02177773,877292.3666666667,261,42,True,False,https://www.tradingview.com/chart/?symbol=NYSE:OMF,PASS entry=57.87 SL=54.34 TP=65.35 R:R=2.12 zone=[57.38-58.36] short=3.44% $vol=$53.3M
UMBF,PASS,134.52000427246094,133.79001400749908,125.61490042275585,150.96359887509735,2.100715138643259,132.90444946289062,134.67557855210754,8.175113584743224,4.7,96.85,73934189.72820792,549614.8333333334,261,39,True,False,https://www.tradingview.com/chart/?symbol=NYSE:UMBF,PASS entry=133.79 SL=125.61 TP=150.96 R:R=2.10 zone=[132.90-134.68] short=4.70% $vol=$73.9M
WAB,PASS,280.2300109863281,269.49367699921714,253.78749139267032,302.4877564025922,2.100706067654141,265.113525390625,273.8738286078093,15.706185606546828,1.98,96.04,238326498.1865143,850467.4333333333,261,33,True,False,https://www.tradingview.com/chart/?symbol=NYSE:WAB,PASS entry=269.49 SL=253.79 TP=302.49 R:R=2.10 zone=[265.11-273.87] short=1.98% $vol=$238.3M
EMR,PASS,149.9199981689453,144.31536166119213,135.13188576450486,163.1699981689453,2.0531045891408684,140.26551818847656,148.3652051339077,9.18347589668726,1.58,85.14,339996172.7914414,2267850.7,261,47,True,False,https://www.tradingview.com/chart/?symbol=NYSE:EMR,PASS entry=144.32 SL=135.13 TP=163.17 R:R=2.05 zone=[140.27-148.37] short=1.58% $vol=$340.0M
RJF,PASS,164.75,157.74769268753965,148.58389106721907,176.55999755859375,2.0528930732566395,154.98752791933896,160.50785745574032,9.163801620320584,4.55,80.9,192291570.52499998,1167171.9,261,40,True,False,https://www.tradingview.com/chart/?symbol=NYSE:RJF,PASS entry=157.75 SL=148.58 TP=176.56 R:R=2.05 zone=[154.99-160.51] short=4.55% $vol=$192.3M
BALL,FAIL,60.150001525878906,58.60450282230674,55.49707602666502,64.6938705444336,1.9596174335200462,57.9757194519043,59.23328619270918,3.107426795641723,2.96,95.88,107150713.47318801,1781391.7,261,46,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BALL,R:R 1.96 < 2.0
FR,FAIL,61.79999923706055,63.61904028840003,60.87983479940056,68.86000061035156,1.91331404051248,63.11802565296192,64.12005492383814,2.739205488999466,3.14,100.75,51056174.42969627,826151.7,261,33,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FR,R:R 1.91 < 2.0
WELL,FAIL,228.8699951171875,217.1544834804574,204.81457229116862,239.85000610351562,1.8391965934696721,213.46267733086816,220.84628963004664,12.33991118928879,2.56,101.7,613544917.7903646,2680757.3333333335,261,38,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:WELL,R:R 1.84 < 2.0
COLB,FAIL,29.93000030517578,29.512243271456025,27.91641889918419,32.295886450353585,1.7443292803798522,29.30736541748047,29.717121125431582,1.595824372271834,3.8,96.49,89075403.20257442,2976124.3666666667,261,41,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:COLB,R:R 1.74 < 2.0
PH,FAIL,943.5399780273438,984.3724338900104,927.6657483560406,1082.6694406412896,1.7334288863064484,966.9724731445312,1001.7723946354896,56.70668553396983,1.05,91.18,576333655.502649,610820.6,261,48,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PH,R:R 1.73 < 2.0
FIX,FAIL,1651.3699951171875,1479.3846430492208,1285.1037462504144,1796.0,1.629678275979238,1460.9111126847101,1497.8581734137317,194.28089679880648,2.62,95.63,599690004.5711548,363146.9666666667,261,34,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FIX,R:R 1.63 < 2.0
